case_id,evidence_id,entity_type,value,normalized,extracted_at
CASE_4B2A51A300,EVID_00038,phones,+9779856770011,+9779856770011,2026-08-21T06:43:07.810Z
CASE_4B2A51A300,EVID_00038,dates,2026-08-02,2026-08-02,2026-08-21T06:43:07.810Z
CASE_4B2A51A300,EVID_00038,times,03:18 PM,03:18 PM,2026-08-21T06:43:07.810Z
CASE_4B2A51A300,EVID_00038,money,Rs. 750.00,NPR 750,2026-08-21T06:43:07.810Z
CASE_4B2A51A300,EVID_00038,transaction_ids,KHL-2026-0802-44190,KHL-2026-0802-44190,2026-08-21T06:43:07.810Z
CASE_4B2A51A300,EVID_00039,domains,gmail.com,gmail.com,2026-08-21T06:43:11.450Z
CASE_4B2A51A300,EVID_00039,emails,reward.center2026@gmail.com,reward.center2026@gmail.com,2026-08-21T06:43:11.450Z
CASE_4B2A51A300,EVID_00039,phones,+9779812345678,+9779812345678,2026-08-21T06:43:11.450Z
CASE_4B2A51A300,EVID_00039,money,Rs 750,NPR 750,2026-08-21T06:43:11.450Z
CASE_4B2A51A300,EVID_00039,khalti_ids,9812345678,+9779812345678,2026-08-21T06:43:11.450Z
CASE_4B2A51A300,EVID_00041,urls,http://khalti-kyc-verify.top/login,http://khalti-kyc-verify.top/login,2026-08-21T06:43:15.036Z
CASE_4B2A51A300,EVID_00041,domains,khalti-kyc-verify.top,khalti-kyc-verify.top,2026-08-21T06:43:15.036Z
CASE_4B2A51A300,EVID_00042,urls,https://esewa-bonus-claim.xyz/verify?ref=KYC2026,https://esewa-bonus-claim.xyz/verify?ref=KYC2026,2026-08-21T06:43:15.120Z
CASE_4B2A51A300,EVID_00042,domains,esewa-bonus-claim.xyz,esewa-bonus-claim.xyz,2026-08-21T06:43:15.120Z
